bored,excitement,meditation,frustration,position,soundPeak
0.74374026,0.6385832,0.2237865,0.582359,2530.975056689342,0.9999847412109375
0.72458774,0.559847,0.23474288,0.56545275,2554.1950113378684,0.9999847412109375
0.72458774,0.559847,0.23474288,0.56545275,2554.1950113378684,0.9999847412109375
0.72458774,0.559847,0.23474288,0.56545275,2577.4149659863947,0.991912841796875
0.72458774,0.559847,0.23474288,0.56545275,2600.6349206349205,0.9999847412109375
0.72458774,0.559847,0.23474288,0.56545275,2623.8548752834467,0.9992828369140625
0.72458774,0.559847,0.23474288,0.56545275,2623.8548752834467,0.9992828369140625
0.72458774,0.559847,0.23474288,0.56545275,2647.0748299319725,0.9999847412109375
0.72458774,0.559847,0.23474288,0.56545275,2670.294784580499,0.984954833984375
0.72458774,0.559847,0.23474288,0.56545275,2693.514739229025,0.9999847412109375
0.72458774,0.559847,0.23474288,0.56545275,2693.514739229025,0.9999847412109375
0.72458774,0.559847,0.23474288,0.56545275,2716.734693877551,0.9999847412109375
0.72458774,0.559847,0.23474288,0.56545275,2739.954648526077,0.9999847412109375
0.72458774,0.559847,0.23474288,0.56545275,2763.174603174603,0.9999847412109375
0.72458774,0.559847,0.23474288,0.56545275,2763.174603174603,0.9999847412109375
0.72458774,0.559847,0.23474288,0.56545275,2786.394557823129,0.83441162109375
0.72458774,0.559847,0.23474288,0.56545275,2809.6145124716554,0.925079345703125
0.72458774,0.559847,0.23474288,0.56545275,2809.6145124716554,0.925079345703125
0.72458774,0.559847,0.23474288,0.56545275,2832.834467120181,0.9999847412109375
0.72458774,0.559847,0.23474288,0.56545275,2856.0544217687075,0.9999847412109375
0.72458774,0.559847,0.23474288,0.56545275,2856.0544217687075,0.9999847412109375
0.72458774,0.559847,0.23474288,0.56545275,2879.2743764172333,0.9904632568359375
0.72458774,0.559847,0.23474288,0.56545275,2902.4943310657595,0.9945068359375
0.72458774,0.559847,0.23474288,0.56545275,2925.714285714286,0.7681732177734375
0.72458774,0.559847,0.23474288,0.56545275,2925.714285714286,0.7681732177734375
